HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000020	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000021	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000022	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000023	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
